Level 1: Case Type,Case type Definition,Case type Definition - Old,Level 2: Issue Type,Issue type Definition - Old,issue Type Definition,Level 3: Reason,Reason Definition - Old,Reason Definition
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Authentication (3DS),Queries about 3DS/Authentication issues,Queries about 3DS/Authentication issues,3DS decline,"IF a merchant asks about a failure or decline during the 3DS verification step (SMS, App) THEN select this.","IF a transaction fails, is declined with a 3DS-related error, or the authentication process (OTP, App redirect, or initiation) is not triggered or completed as expected THEN select this.

"
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Authentication (3DS),Queries about 3DS/Authentication issues,Queries about 3DS/Authentication issues,Liability Shift Status,If the merchant is asking about liability shift for a 3DS processed payment or chargeback then select this,If the merchant is asking about liability shift for a 3DS processed payment or chargeback (e.g. chargeback protection logic) then select this
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Authentication (3DS),Queries about 3DS/Authentication issues,Queries about 3DS/Authentication issues,SCA / Exemption Issue,IF query relates to Strong Customer Authentication rules or requests to skip 3DS THEN select this.,IF query relates to Strong Customer Authentication rules or requests to skip 3DS THEN select this.
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Fraud & Risk Controls,Queries about Fraud controls and settings,Queries about Fraud controls and settings,Risk Rules,IF a payment was blocked by internal fraud settings or the Risk engine THEN select this.,"IF a payment was blocked by fraud settings or the Risk engine, OR the merchant requests changes to risk rules, blocklists, allowlists, or threshold settings."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Fraud & Risk Controls,Queries about Fraud controls and settings,Queries about Fraud controls and settings,Trustlist & Decline List,"IF merchant wants to add/remove specific entities (IP, Email, Card) from a block or allow list THEN select this.","IF merchant wants to add/remove specific entities (IP, Email, Card) from a block or allow list THEN select this."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Fraud & Risk Controls,Queries about Fraud controls and settings,Queries about Fraud controls and settings,AVS / CVV Mismatch,IF payment failed specifically because address or security code didn't match bank records THEN select this.,"IF the issue relates to Address Verification Service (AVS) or CVV checks, including payment failures due to mismatches, inquiries about check results, or questions regarding the logic of how these checks are performed and displayed."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Fraud & Risk Controls,Queries about Fraud controls and settings,Queries about Fraud controls and settings,Velocity Limit Reached,IF blocks are occurring due to too many attempts in a short timeframe THEN select this.,IF blocks are occurring due to too many attempts in a short timeframe THEN select this.
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Disputes/Chargebacks,Queries about lifecycle of Disputes/Chargebacks,Queries about lifecycle of Disputes/Chargebacks,Dispute status,IF merchant is checking the progress or the behaviour of a contested payment (Chargeback) THEN select this.,"IF the merchant is inquiring about the status, lifecycle, or outcome of a dispute (e.g., Won/Lost, Pre-Arb), or questioning its validity. Also select this for operational issues such as locating transactions involved in disputes, troubleshooting missing notifications (emails/RFIs), configuring dispute services (e.g., RDR, ARNs, API automation), or clarifying the financial impact on funds (e.g., held/released amounts)."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Disputes/Chargebacks,Queries about lifecycle of Disputes/Chargebacks,Queries about lifecycle of Disputes/Chargebacks,Dispute Adjustment,,"IF the merchant is questioning, reporting discrepancies in, or seeking clarification on the financial adjustments resulting from disputes or chargebacks such as unexpected debits, duplicate charges, credit adjustments (UPDT), missing chargeback refunds, or confusion about how dispute outcomes have impacted their balance THEN select this. "
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Disputes/Chargebacks,Queries about lifecycle of Disputes/Chargebacks,Queries about lifecycle of Disputes/Chargebacks,Evidence Help and submission,IF merchant asks for guidance on how to provide evidence and which documents to provide to defend a dispute THEN select this.,"IF the merchant is actively defending a dispute or RFI. Select this for submitting files (including manual upload requests), troubleshooting dashboard submission errors, or asking for strategic guidance on which specific documents are required to contest the case."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Performance,Queries about acceptance rate performance or multiple payment failures,Queries about acceptance rate performance or multiple payment failures,Acceptance Rate Issue / Optimisation,IF query is about overall success/failure trends across all payments THEN select this.,"IF a merchant reports a drop in overall approval ratios, asks for optimization advice, or flags a trend of declines across multiple transactions, THEN select this."
PAYMENTS (IN),"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.","Refers to the lifecycle of transactions initiated by customers to the merchant. This includes the processing, authorization, and reversal of funds for goods or services.",Performance,Queries about acceptance rate performance or multiple payment failures,Queries about acceptance rate performance or multiple payment failures,All Payments Failing,If the merchant is saying they have large amount of payment failure issues or most  then select this. ,If the merchant is saying they have large amount of payment failure issues or systemic payment failures then select this. 
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Bank Payouts,Queries about Bank Payouts lifecycle and failures,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Declined/Failed Bank payout,IF a payout was declined THEN select this.,IF a payout was declined THEN select this.
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Bank Payouts,Queries about Bank Payouts lifecycle and failures,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Proof of Bank Payout,IF the recipient claims they haven't received funds and the merchant needs a confirmation receipt THEN select this.,IF the recipient claims they haven't received funds and the merchant needs a confirmation receipt THEN select this.
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Bank Payouts,Queries about Bank Payouts lifecycle and failures,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Bank payout stuck in Pending or status Inquiry,If a merchant asks why a bank payout is stuck in Pending then select this,"Select this category when a merchant inquires about a bank payout that is currently delayed, stuck in processing, or showing a pending status. This definition encompasses all scenarios where a bank payout is held for compliance checks, sanctions reviews, or risk assessments, often requiring a Request for Information (RFI) to resolve the hold. It is also the correct selection for general status investigations, discrepancies in payout amounts"
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Bank Payouts,Queries about Bank Payouts lifecycle and failures,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Bank Payout Returns,If a merchant asks to reverse a bank payout then select this,If a merchant asks to reverse a bank payout then select this
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Card Payouts,Queries about Card Payouts lifecycle and failures,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Push to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Card payout stuck in Pending or status Inquiry,If a merchant asks why a card payout is stuck in Pending then select this,If a merchant asks why a card payout is stuck in Pending then select this
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Card Payouts,Queries about Card Payouts lifecycle and failures,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Push to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Declined/Failed card payout,If a merchant asks why a card payout was declined then select this,If a merchant asks why a card payout was declined Paid but customer didn't receive money then select this
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Card Payouts,Queries about Card Payouts lifecycle and failures,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Push to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Proof of Card Payout,IF merchant needs a payout confirmation or Acquirer Reference Number to give to a customer THEN select this.,IF merchant needs a card payout proof or Retrieval Reference Number (RRN) to give to a customer THEN select this.
PAYOUTS,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.","Refers to the lifecycle of a Payout made by card or bank payout. This includes the status, declines, reverals or proofs",Card Payouts,Queries about Card Payouts lifecycle and failures,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Push to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Card payout reversal,If a merchant asks to reverse a card payout then select this,If a merchant asks to reverse a card payout then select this
FUNDS and FEES,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.","Refers to the flow of money in the merchant balance and their Settlement and any associated fees. Includes delays to settlement, reconciliation, balance queries, invoices or fees.",Settlements,Queries about Settlement lifecycle and reconciliation,Queries about Settlement lifecycle and reconciliation,Delayed / Missing Settlement,IF an expected settlement is not showing on Dashboard or not arrived in the merchant's bank account THEN select this.,IF an expected settlement is not showing on Dashboard or not arrived in the merchant's bank account THEN select this.
