Level 1: Case Type,Case type definition,Level 2: Issue Type,Level 2: Issue Type definition,Level 3: Reason,Level 3: Reason definition
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Authentication (3DS),Queries about 3DS/Authentication issues,3DS decline,"IF a transaction fails, is declined with a 3DS-related error, or the authentication process (OTP, App redirect, or initiation) is not triggered or completed as expected THEN select this.

"
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Authentication (3DS),Queries about 3DS/Authentication issues,Liability shift status,If the merchant is asking about liability shift for a 3DS processed payment or chargeback (e.g. chargeback protection logic) then select this
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Authentication (3DS),Queries about 3DS/Authentication issues,SCA / exemption issue,IF query relates to Strong Customer Authentication rules or requests to skip 3DS THEN select this.
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Fraud & risk controls,Queries about Fraud controls and settings,Risk rules,"IF a payment was blocked by fraud settings or the Risk engine, OR the merchant requests changes to risk rules, blocklists, allowlists, or threshold settings."
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Fraud & risk controls,Queries about Fraud controls and settings,Trustlist & decline list,"IF merchant wants to add/remove specific entities (IP, Email, Card) from a block or allow list THEN select this."
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Fraud & risk controls,Queries about Fraud controls and settings,AVS / CVV mismatch,"IF the issue relates to Address Verification Service (AVS) or CVV checks, including payment failures due to mismatches, inquiries about check results, or questions regarding the logic of how these checks are performed and displayed."
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Fraud & risk controls,Queries about Fraud controls and settings,Velocity limit reached,IF blocks are occurring due to too many attempts in a short timeframe THEN select this.
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Disputes,Queries about lifecycle of Disputes/Chargebacks,Dispute status,"IF the merchant is inquiring about the status, lifecycle, or outcome of a dispute (e.g., Won/Lost, Pre-Arb), or questioning its validity. Also select this for operational issues such as locating transactions involved in disputes, troubleshooting missing notifications (emails/RFIs), configuring dispute services (e.g., RDR, ARNs, API automation), or clarifying the financial impact on funds (e.g., held/released amounts)."
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Disputes,Queries about lifecycle of Disputes/Chargebacks,Dispute adjustment,"IF the merchant is questioning, reporting discrepancies in, or seeking clarification on the financial adjustments resulting from disputes or chargebacks such as unexpected debits, duplicate charges, credit adjustments (UPDT), missing chargeback refunds, or confusion about how dispute outcomes have impacted their balance THEN select this. "
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Disputes,Queries about lifecycle of Disputes/Chargebacks,Evidence help and submission,"IF the merchant is actively defending a dispute or RFI. Select this for submitting files (including manual upload requests), troubleshooting dashboard submission errors, or asking for strategic guidance on which specific documents are required to contest the case."
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Performance,Queries about acceptance rate performance or multiple payment failures,Acceptance rate issue / optimisation,"IF a merchant reports a drop in overall approval ratios, asks for optimization advice, or flags a trend of declines across multiple transactions, THEN select this."
Accepting payments,"**Definition:** Refers to the technical lifecycle of customer-initiated transactions (processing, authorization, capture/void, refunds/reversals, disputes) for goods and services. Do NOT select this for requests to enable new payment methods, configuration of processing channels, or update billing/statement descriptors — use ACCOUNT MANAGEMENT instead.
 

 **Includes:**
 * Transaction Status: declined/failed actions, stuck statuses, missing transactions, duplicate charges, proof of payment (ARN).
 * Refunds: failed refunds, refund proof, refund reversals.
 * Authentication (3DS): 3DS declines/drop-off, SCA/exemptions, liability shift questions.
 * Fraud & Risk Controls: risk blocks/rules, allowlist/blocklist changes, AVS/CVV mismatch, velocity limits.
 * Disputes/Chargebacks: dispute lifecycle/status, evidence submission/help.
 * Performance: acceptance rate drops, multiple payment failures.
 

 **Key Distinctions:**
 * Decline Codes: Codes that look like 20XXX / 30XXX / 40XXX (e.g., ""declined with code 20154"", ""risk blocked 42101"") belong here.
 * Lifecycle vs Config: If the merchant is reporting the lifecycle outcome of a transaction (declines, stuck status, missing transaction, refund failure), select this.
 * Payment Ops: If the symptom is payment outcomes without integration failures (declines, 3DS failures, chargebacks, refund failures), select this.
 * Refund Execution: If the question is about refund execution/status/failure itself, select this.",Performance,Queries about acceptance rate performance or multiple payment failures,All payments failing,If the merchant is saying they have large amount of payment failure issues or systemic payment failures then select this. 
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Bank payouts,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Declined / failed bank payout,IF a bank payout was declined THEN select this.
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Bank payouts,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Proof of bank payout,IF the recipient claims they haven't received funds from a bank payout and the merchant needs a confirmation receipt THEN select this.
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Bank payouts,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Bank payout stuck in pending or status inquiry,"Select this category when a merchant inquires about a bank payout that is currently delayed, stuck in processing, or showing a pending status. This definition encompasses all scenarios where a bank payout is held for compliance checks, sanctions reviews, or risk assessments, often requiring a Request for Information (RFI) to resolve the hold. It is also the correct selection for general status investigations, discrepancies in payout amounts"
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Bank payouts,"Queries about payouts sent via bank transfer rails (SEPA, SWIFT, Faster Payments, ACH, wire transfers). Select this IF the ticket explicitly mentions: bank account, IBAN, SWIFT/BIC codes, MT103, beneficiary bank, wire transfer, bank-specific references, sanctions/AML screening holds, Inpay references, or name discrepancy verification. Also select this for payouts requiring RFI (Request for Information) for compliance screening. Do NOT select this if the payout method is unclear—use Card Payouts instead",Bank payout returns,If a merchant asks to reverse a bank payout then select this
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Card payouts,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Pay to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Card payout stuck in pending or status inquiry,If a merchant asks why a card payout is stuck in Pending then select this
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Card payouts,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Pay to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Declined / failed card payout,If a merchant asks why a card payout was declined Paid but customer didn't receive money then select this
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Card payouts,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Pay to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Proof of card payout,IF merchant needs a card payout proof or Retrieval Reference Number (RRN) to give to a customer THEN select this.
Payouts,"**Definition:** Refers to the lifecycle of a payout made by card or bank payout. This includes status, declines, reversals, and proofs (e.g., proof of payout).
 

 **Includes:**
 * Bank Payouts: returned/bounced, invalid beneficiary, cut-off times, MT103 proof.
 * Card Payouts: stuck in pending, declined, card not supported, payout reversals.",Card payouts,"Queries about payouts sent via card networks (Visa Direct, Mastercard Send, Pay to Card/PTC, OCT). Select this IF the ticket mentions: Visa, Mastercard, card payout, card-based, ARN (Acquirer Reference Number), RRN, issuing bank, issuer, cardholder, or any card scheme reference. When the payout method is ambiguous or unclear (e.g., generic ""withdrawal"" or ""payout"" without specifying the rail), default to Card Payouts as they represent the majority of payout volume.",Card payout reversal,If a merchant asks to reverse a card payout then select this
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Settlements,Queries about Settlement lifecycle and reconciliation,Delayed / missing settlement,IF an expected settlement is not showing on Dashboard or not arrived in the merchant's bank account THEN select this.
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Settlements,Queries about Settlement lifecycle and reconciliation,Reconciliation issue,IF merchant is struggling to match report or Dashboard data to their bank statement entries or is reporting a discrepancy between expected and actual balances  THEN select this.
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Balances,Queries about Balance status and confirmation,Balance confirmation,If the merchant needs a Statement of account (SOA) or balance confirmation document for audit purposes THEN select this
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Balances,Queries about Balance status and confirmation,Negative balance,IF the merchant is struggling to understand why they have a negative balance on their account THEN select this
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Balances,Queries about Balance status and confirmation,Balance top up,IF the merchant needs to top up their balance THEN select this
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Balances,Queries about Balance status and confirmation,Balance explanation,"IF the merchant needs help understanding their balance or how funds are allocated, reports balance discrepancies or is unable to reconcile figures between reports or different balance types"
Funds and fees,"**Definition:** Refers to the flow of money in the merchant balance and their settlements and any associated fees. Includes settlement delays, reconciliation, balance queries, invoices, and fee questions.
 

 **Includes:**
 * Settlements: delayed/missing settlements, reconciliation discrepancies.
 * Balance: balance confirmation, negative balance, top-ups.
 * Billing & Fees: invoice requests, fee inquiries, pricing checks.
 

 **Key Distinctions:**
 * Reconciliation: If it is specifically settlement reconciliation and cash movement interpretation, or if financial amounts themselves don't match (settlement amount wrong, fee unexpected), select this.
 * Fees: If the question is about fees (interchange/scheme/gateway fees, tax invoices, pricing checks), including ""why fee wasn't refunded"", select this.",Billing & fees,Queries about fees charged,Invoice request,IF merchant needs a copy of their tax or service invoice THEN select this.
