contact_id	contact_text_truncated	fin_case_type	fin_issue_type	fin_reason	correct_case_type	correct_issue_type	correct_reason	verdict	reason_match	gap_type	gap_description	recommended_fix
215560986615819	##- Please type your reply above this line -## For tracking purposes, your inquiry has been assigned the following case number: 1429505. **Michael McGrath** (Inpay Support) May 15, 2026, 13:23 GMT+2 H	Payouts	Other		Payouts	Bank payouts	Bank payout stuck in pending or status inquiry	wrong	n/a	missing_coverage	Contact is a terse status-update request with only a payout ID (pay_*). Fin correctly identifies Payouts but has no rule that 'status update + pay_ID' with no further detail defaults to Bank Payouts → stuck in pending/status inquiry.	Add include_when to Payouts → Bank payouts → Bank payout stuck in pending or status inquiry: 'short status-update requests citing a payout ID (pay_*) with no failure detail; default to bank payout unless card payout is explicitly mentioned'. Add disambiguation rule: 'when payout type is ambiguous, default to Bank payouts (higher volume) rather than Other'.
215560985946699	________________________________________________________________________________ Microsoft Teams meeting Join: https://teams.microsoft.com/meet/373044261360881?p=Xjs6JUqyeP291wSu2I Meeting ID: 373 044		Other		General	Inquiries	Spam / duplicate / no action / follow ups	unclassified	n/a	missing_coverage	Contact is a Microsoft Teams meeting invite with no payment or support content. Fin has no definition for non-actionable content (meeting links, signatures, calendar invites, spam) and produces no case type at all, falling through to Other.	Add include_when to General → Inquiries → Spam / duplicate / no action / follow ups: 'meeting invites (Microsoft Teams, Zoom, Google Meet), calendar links, out-of-office replies, signature-only content, or any contact with no support request or transaction context'. Add keywords: 'Teams meeting, Join the meeting, Meeting ID, Passcode, calendar invite'.
215560986420189	Hi Support, We recently migrated to a new checkout flow for Singapore entity . When entering Amex cards, an error stating "Amex not supported" appears during payment. ![image.png](https://support.chec	Account management and access	Other		Account management and access	Account changes	Account settings update	wrong	n/a	missing_coverage	Contact reports 'Amex not supported' error on a Singapore entity after a checkout migration and asks to enable AMEX. Fin sees migration + integration + error and cannot decide between Integration methods and Account changes, falling back to Other.	Add include_when to Account management and access → Account changes → Account settings update: 'requests to enable card schemes (AMEX, Diners, JCB) on a MID, even when surfaced as a checkout error like *_not_supported'. Add disambiguation: 'scheme/currency *_not_supported errors = Account changes, not API integration or Integration methods'.
215560986408133	Hi team! Customer has contacted us and said that he has not received any money from payment pay_jnzoysqbasxypbhyfmaxie6soq. Has the payments bounced back to you or what could be wrong? Erica Ekholm Op	Payouts	Other		Payouts	Card payouts	Declined / failed card payout	wrong	n/a	ambiguous_boundary	Contact says customer has not received money from a payout (pay_*) and asks if it bounced back. Fin identifies Payouts but cannot decide between Bank payouts and Card payouts because the rail is not specified.	Add disambiguation to Payouts: 'when the payout rail (bank vs card) is not specified but the issue is non-receipt of funds, default to Card payouts → Declined / failed card payout if the contact mentions customer/end-consumer (B2C disbursement); use Bank payouts for merchant-to-bank or business contexts'. Add include_when to Card payouts → Declined / failed card payout: 'customer/cardholder reports not receiving money from a payout ID'.
215560987455748	Dear, We are not consistently receiving the cardholder name after successful checkout transactions. In some transactions, the cardholder name is received; in others it is missing. As this information	Accepting payments	Other		Technical issue	API integration	Other	wrong	n/a	missing_coverage	Contact reports cardholder name is inconsistently returned in API responses post-transaction. Fin classifies as Accepting payments because it mentions transactions, missing that the issue is missing/inconsistent API response data — an API integration issue.	Add include_when to Technical issue → API integration: 'missing, inconsistent, or null fields in API responses (cardholder name, BIN, scheme, metadata) after successful transactions'. Add exclude_when to Accepting payments → Transaction status: 'questions about response payload contents (missing fields) — route to Technical issue → API integration'.
215560988518749	Hi @Ahmad Jabr, Thank you. Hi @Joelle Matar @Gilbert Hizon@Carla Doumit@Omar (tixity @Support@Joey Palomar Could you please confirm your availability for tomorrow at 3:00 PM Dubai time so I can share	Account management and access	Other		Non-merchant requests	Account changes	Account settings update	wrong	n/a	missing_coverage	Contact is a scheduling confirmation for a call about migrating a merchant from Cybersource/QNB to Checkout. Fin sees 'migrating', 'MID', 'production' and assumes Account management, but the contact is from a non-merchant third party (TPA/partner) scheduling a meeting, so no issue type fits.	Add include_when to Non-merchant requests → Third parties → TPA requests: 'third-party agents, partners, or referrers coordinating merchant migrations, scheduling meetings, or requesting MID setup on behalf of a prospective merchant'. Add disambiguation: 'if requester is a TPA/partner (not the merchant themselves) discussing onboarding or migration, route to Non-merchant requests, not Account management'.
215560986038749	Hi Checkout team, As discussed with Dr. Hammad, We want tabby and tamara to be enabled in checkout.com for Zahrat production environment Let us know if you need anything in this regard from our side.	Account management and access	Other		Account management and access	Account changes	Account settings update	wrong	n/a	missing_coverage	Contact asks to enable Tabby and Tamara in production for a specific entity. Fin sees BNPL product names and treats as Integration methods, missing that enabling a payment method on a MID is an account configuration change.	Add include_when to Account management and access → Account changes → Account settings update: 'requests to enable, disable, or activate APMs/BNPL methods (Tabby, Tamara, Klarna, SEPA, ACH) on production or specific entities'. Reinforce disambiguation: 'enabling a payment method = Account changes; integrating a payment method technically = Integration methods'.
215560988408447	Dear Checkout Team: Good day! Please check why there is an error when I fill the period to extract the report. See the screen shot below. ![](https://support.checkout.com/attachments/token/BvMBZgZKbm8	Data and analytics	Other		Data and analytics	Reporting	Report not generated / missing	wrong	n/a	missing_coverage	Contact reports an error when selecting a date period to extract a report. Fin classifies Data and analytics correctly at case level but has no clear definition linking 'report extraction error' to Reporting → Report not generated / missing.	Add include_when to Data and analytics → Reporting → Report not generated / missing: 'errors when generating, downloading, or extracting standard reports including date-range/period selection errors, timeouts, and empty outputs'. Add keywords: 'error when extracting, report not generated, period error, date range error, export failed'.
215560985909627	Hello Team, Happy start of the day! We are reaching out to seek clarification regarding recent payment declines with the response code “412020 – Decline BIN.” Historically, card or BIN blacklisting ha	Accepting payments	Other		Accepting payments	Fraud & risk controls	Trustlist & decline list	wrong	n/a	ambiguous_boundary	Contact asks why cards are being declined with response code 412020 'Decline BIN' despite not being on the merchant's decline list. Fin sees decline + BIN list but cannot decide between Risk rules and Trustlist & decline list, falling back to Other.	Add disambiguation to Accepting payments → Fraud & risk controls → Trustlist & decline list: 'response codes specifically referencing BIN/card list decisions (412020 Decline BIN, blacklist, blocklist) belong here, even when the merchant disputes the listing'. Add keywords: '412020, Decline BIN, BIN block, blacklist, decline list, blocklist'.
215560985986523	Hi Team, We have noticed that **Tabby and Google Pay** are currently enabled under checkout.com along with card payments and apple pay. Kindly disable **Tabby and Google Pay.** Screenshot attached for	Account management and access	Other		Account management and access	Account changes	Account settings update	wrong	n/a	missing_coverage	Contact asks to disable Tabby and Google Pay on the account. Fin recognises payment method names but treats them as integration topics rather than account configuration changes, so it falls back to Other at issue type.	Add include_when to Account management and access → Account changes → Account settings update: 'requests to disable, remove, or turn off payment methods (Tabby, Google Pay, Apple Pay, APMs) on a merchant account'. Add keywords: 'disable, turn off, remove payment method, deactivate APM'.
215560985283337	Public Dear Checkout Team, KNET has announced upcoming changes to their payment gateway effective **1st June 2026**, including **certificate validity changes**. Since our integration with KNET is thro	Accepting payments	Other		Accepting payments	Performance	Acceptance rate issue / optimisation	wrong	n/a	missing_coverage	Contact is about upcoming KNET payment gateway changes (certificate validity) and asks Checkout to confirm readiness. Fin sees a third-party scheme/processor notice and routes to Accepting payments, but no issue type covers 'scheme/processor change readiness confirmation', so it defaults to Other.	Add include_when to Accepting payments → Performance → Acceptance rate issue / optimisation: 'merchant inquiries about scheme/local-network changes (KNET, Mada, scheme mandates, certificate rotations) and Checkout's readiness to maintain acceptance'. Add keywords: 'KNET, scheme mandate, certificate validity, gateway changes, upcoming changes, mandate'.
215560985957214	Hi Checkout Support, We have received a formal Resolution of Claim letter from the cardholder's bank (Wells Fargo) regarding the following: Payment ID: **pay_dlpmbvabivfynnd53knvwu66ou**, (dispute PSP	Accepting payments	Other		Accepting payments	Disputes	Dispute status	wrong	n/a	ambiguous_boundary	Contact provides a bank's Resolution of Claim letter closing a chargeback in merchant's favour and asks to update dispute status. Fin sees 'dispute' but the term 'Disputes / Chargebacks' is not consistently in include_when for this scenario (claim closure / status update), so it falls back to Other.	Add include_when to Accepting payments → Disputes → Dispute status: 'inquiries to update or confirm dispute status including issuer/bank claim closure letters, provisional credit reversals, and dsp_* references'. Add keywords: 'Resolution of Claim, claim closed, provisional credit, dsp_, dispute closed, chargeback resolved'.
215560986494530	Good Day Team, Requesting for your assistance to confirm if the refund for Emma order: 0003-FP3EHL is successfully sent to the customer. We also request the copy of proof of refund that we may provide	Accepting payments	Other		Accepting payments	Refunds	Refund proof	wrong	n/a	ambiguous_boundary	Contact asks to confirm a refund was sent and requests proof of refund. Fin classifies Accepting payments correctly but cannot distinguish Refunds → Refund proof from Refund status enquiry, so it falls back to Other.	Add disambiguation to Accepting payments → Refunds → Refund proof: 'requests for refund confirmation accompanied by an explicit ask for a document/proof to share with the customer belong to Refund proof, not Refund status enquiry'. Add keywords: 'proof of refund, copy of refund, refund evidence, share with customer, ARN for refund'.
