Status,Catalogue product,Catalogue category,Catalogue state,Catalogue pillar,Catalogue team,Zendesk value,Zendesk category,Zendesk tag,Note
CATALOGUE ONLY — review for addition,Cash App,Payment Methods,Roadmap,Core Network,APM - UK,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Clearpay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Commerce Protocols,Agentic Commerce,Mixed availability,Value Added Services,Value Added Services Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,CommerceTools,Partner Integrations and Plugins,Roadmap,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Configuration,Issuing,Mixed availability,Emerging Products,Issuing Experience,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Control spending,Issuing,Mixed availability,Emerging Products,Issuing Experience,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Custom Analytics,Analytics,,Merchant Services,Data Connectivity & Analytics,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Dankort,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Daviplata,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,dBarai,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,DBS PayLah!,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Developer needs,Issuing,Mixed availability,Payment Services,Issuing,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,DragonPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,DuitNow,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Dwolla,Partner Integrations and Plugins,Mixed availability,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,eFaktura,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,EFT Pre-Authorized Debit,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Elo,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,eps (Hong Kong),Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Financial Report,Reporting,,Financial Experiences,Client Reporting,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,FPS,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,FPX,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Fund Acceleration,Business Account,Mixed availability,Financial Experiences,Client Balances,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Girocard,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,GiroPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,GoPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,GrabPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Illicado,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Interac (E-Transfer),Payment Methods,Not on roadmap,Core Network,APM - UK,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Issuing for Platforms,Issuing,Roadmap,Emerging Products,Issuing Experience,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,Issuing Report,Reporting,,Emerging Products,Issuing Cards,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — review for addition,IXOPay,Partner Integrations and Plugins,Roadmap,Global Partnerships,Partner Engineering,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Konbini Payments,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,LINE Pay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,LiqPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,LPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,MACH,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,maximum,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Mercado Pago,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,MoMo,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,MonoPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Movement Protocols,Agentic Commerce,Roadmap,Value Added Services,Value Added Services Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,MyDebit,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,NaverPay,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Nequi,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Nordea,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Ocado Group,Partner Integrations and Plugins,General availability,Global Partnerships,UK & EEA Partnerships,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,Oney,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,Orb (WithOrb),Partner Integrations and Plugins,Not on roadmap,Global Partnerships,Partner Engineering,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — not on roadmap,papara,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
CATALOGUE ONLY — review for addition,Pay to Self,Payouts,Mixed availability,Financial Infrastructure,Financial Infrastructure Leads,,,,Active/roadmap product with no Zendesk field value
CATALOGUE ONLY — not on roadmap,paycell,Payment Methods,Not on roadmap,,,,,,Expected absence from live Zendesk field
