Clean ID	Deliverable name	D1: Fin / AI configuration	D2: Platform & taxonomy	D3: Integration effort	D4: Gating / dependency risk	Total score	Estimated duration (weeks)	Final conclusions
CONS-16	Flow as platform (ISV, white label, Orchestration, ProcessOut, AI conversational)	2	2	2	2	8	6	New Fin procedures for multi-tenant routing and white-label escalation queries. New Zendesk routing configuration for ISV/white-label tenants. Extension to existing Flow API for tenant identifier data — new multi-tenancy schema in existing integration. Condition: Compliance data segregation sign-off and white-label support ownership definition required before Fin is built.
CA-01	APAC scheme + market expansion	2	2	1	2	7	6	New/updated Fin procedures for new schemes (Union Pay, JCB, Discover, AFT Japan) — scheme-specific dispute rules differ. New Zendesk routing for new entities (AU Pty Ltd, Kabushiki Kaisha Japan). New scheme data flows through existing acquiring integration — no new integration. Condition: entity-specific routing must be confirmed with Legal/Compliance before Zendesk config is finalised. Must start Q3 2026 to meet Dec 2026 GA dates.
CA-02	Brazil market completion	2	2	1	2	7	6	New Fin procedures for Brazil instalment queries and end-seller data passing. New taxonomy for instalment contact type. New instalment data flows through existing Brazil/LATAM acquiring integration — no new integration. Condition: LATAM compliance must confirm dispute handling timelines before Fin procedures are built.
CA-03	NORAM scheme expansion	1	1	1	1	4	2	Update existing NORAM Fin procedures for Interlink debit and Amex PD parity. KB update. New scheme data flows through existing NORAM acquiring integration. Condition: Discover Canada is deferred — hold that element until timeline is confirmed.
CA-04	MALPB rollout (PTC/AFT + ACH)	2	2	2	2	8	6	New Fin procedures for ACH R-code handling and MALPB entity change queries. New Zendesk routing for MALPB entity. Extension to ACH integration for MALPB entity routing data — new entity identifier in existing integration. Condition: banking licence entity change must be confirmed before Zendesk routing can be configured.
CA-05	Banking-partner resilience (2nd BIN strategy)	0	0	0	0	0	1	No Care Product action required. Internal resilience measure — 2nd BIN failover is transparent to Care tooling at steady state.
CA-06	Low Cost Routing + DCC monetisation	1	1	1	1	4	2	Update Fin procedure for DCC queries (pricing transparency, opt-in/out). KB update. New DCC pricing data flows through existing payment/pricing API — no new integration. Condition: Finance/Commercial DCC pricing model documentation needed before Fin is updated.
CA-07	Travel vertical launch (Lodging/Airline)	2	2	2	2	8	6	New Fin procedures for travel-specific contact types (lodging auth holds, incremental auth, franchisee payout queries). New taxonomy for travel vertical. Extension to acquiring API for travel-specific data fields (incremental auth status, lodging hold amounts). Condition: Commercial/Legal must confirm franchisee payout liability ownership before Fin procedures for payout queries are built.
CA-08	Faster Refunds	2	2	1	1	6	3	Update Fin procedure for refund timeline queries across UK, EEA, and US with new faster timelines. KB update with new timeline commitments per region. New timeline data flows through existing refunds API — no new integration. Condition: Treasury must confirm the new refund timelines — this is the trigger for the Fin update.
CA-09	Acquiring-as-a-service: PPaaS, MoR, BPSP	2	2	3	3	10	8	New Fin procedures for PPaaS, MoR, and BPSP queries — each model has distinct handling rules around liability. New taxonomy for each model type, Zendesk routing for entity/model differentiation. Net-new integrations to PPaaS gateway API and MoR entity data structures — new for Care tooling. Condition: Commercial Legal must define Care's remit and resolution authority for each model before any Fin procedures are built — hard gate.
CA-10	Recurring payments & billing engine	2	2	2	1	7	6	New Fin procedures for subscription billing and usage-based billing queries. New taxonomy for subscription billing contact type. Extension to existing billing API for subscription/usage-based schema — new billing model data in existing integration. Condition: billing engine documentation must be available before Fin procedures are built (target GA Jun 2027).
CA-11	Merchant operational data products	1	1	2	0	4	2	Update Fin with Smart Disputes automation context to prevent duplication of automated actions. KB update. Extension to disputes/analytics API for DataStream and customer insight data — new reporting endpoints in existing analytics integration.
CA-12	Dashboard self-serve & recommendations	0	1	0	0	1	1	KB update only — agents need to redirect merchants to new self-serve Dashboard capabilities. No Fin procedure or integration work needed.
CA-13	Custom Routing & Dynamic Payment Methods	1	1	1	0	3	2	Update Fin procedure for routing rule setup and Dynamic Payment Methods queries. KB update. New routing configuration data flows through existing payment API — no new integration.
AU-01	Network optimisation & smart routing (browser/native, TRA/DTA, 3DS versions, Apple)	1	1	1	0	3	2	Update Fin procedure for 3DS routing queries to cover new routing logic (TRA vs DTA, 2.3.1 LIVE, Apple Card Match). KB update. New routing decision data flows through existing authentication integration — no new integration.
AU-02	Market-specific performance push (FR, JP)	1	1	1	0	3	2	Update Fin procedure with FR/JP issuer context for acceptance rate queries. KB update. Issuer performance data flows through existing authentication integration — no new integration.
AU-03	EUDI Wallet (EU regulatory)	2	2	3	3	10	8	New Fin procedure for EUDI Wallet authentication queries (integration failure, mandate compliance). New taxonomy and KB for EUDI Wallet as a distinct authentication method. Net-new integration to EUDI Wallet API — completely new authentication system for Care tooling. Condition: EU mandate scope and timeline is a hard gate — Product Reg Legal must confirm Care's obligations before integration work can be scoped.
AU-04	Observability & analytics revamp	0	0	0	0	0	1	No Care Product action required. Observability improvements are internal tooling for agents and analysts.
AU-05	Premium biometric experiences (SPC + FIDO)	2	1	2	1	6	3	New Fin procedure for SPC and FIDO biometric authentication queries (setup failure, device compatibility). KB update. Extension to existing authentication API for SPC/FIDO-specific fields — new auth method data within existing integration. Condition: scheme passkey scope must be confirmed before Fin procedures are finalised.
AU-06	Standalone product foundations (Gateway, 3DS refinement, decisioning, orchestration)	2	2	2	1	7	6	New Fin procedure for standalone 3DS queries — distinct from acquiring-bundled 3DS, needs separate handling logic. New Zendesk routing for standalone 3DS customers. Extension to 3DS API for standalone product context data. Condition: product team must provide error taxonomy before Fin procedures are built.
AU-07	Standalone enterprise enablement (Cross-PSP, evidence packs, multi-PSP analytics)	2	2	2	1	7	6	New Fin procedure for cross-PSP onboarding support and evidence pack export queries. New KB articles for evidence packs and multi-PSP analytics. Extension to authentication API for cross-PSP data and evidence pack export endpoint. Condition: cross-PSP data agreement scope must be confirmed before Fin procedures are built.
AU-08	Self-serve onboarding for standalone (sandbox + docs)	0	1	0	0	1	1	KB update for self-serve sandbox promotion process. No Fin procedure or integration work — self-serve design reduces Care touchpoints.
AG-01	AI platform integrations (UCP, ACP, Copilot, Perplexity, A2A, embedded PSP)	2	2	3	2	9	8	New Fin procedures for AI platform integration queries (onboarding failure, API errors per platform). New taxonomy for agentic platform query type, KB articles per platform. Net-new integrations to each AI platform — all new data sources for Care tooling. Condition: Commercial Legal partnership terms must define Care's scope for each platform before procedures are built.
AG-02	Agent trust & identity layer (KYA, mandate, edge enforcement, tokenisation)	2	2	3	2	9	8	New Fin procedures for Know Your Agent registration queries and mandate configuration failures. New taxonomy for KYA/mandate query types, KB articles. Net-new integrations to KYA registration API and mandate control panel API — new systems for Care. Condition: Compliance must define Care's KYA resolution authority before Fin procedures are built.
AG-03	AP2 Mandate / Proof of Intent (verification, evidence, risk signal)	2	2	3	2	9	8	New Fin procedures for AP2 mandate verification queries and evidence pack export. New taxonomy sub-type for AP2 disputes. Net-new integration to AP2 mandate verification API and evidence export system. Condition: Risk/Compliance must define Care's role in AP2 verification before procedures are built.
AG-04	Vault extensions (product feed + consumer preference layer)	1	1	2	2	6	3	Update Fin to surface vault extension context and route consumer preference queries to Privacy. KB update. Extension to Vault API for product feed/catalog data and consumer preference schema. Condition: Privacy must approve Fin's access to consumer preference data before procedures are built — Fin must know the escalation boundary.
AG-05	Agentic analytics & reporting	0	1	2	0	3	2	KB update for agentic analytics. Extension to analytics API for agentic channel breakdown data — new reporting schema in existing analytics integration. No Fin procedure needed.
AG-06	Platform Fee Split & Settlement Engine	2	2	3	2	9	8	New Fin procedures for multi-party fee split and settlement reconciliation queries. New taxonomy for platform fee split query type, KB articles. Net-new integration to Platform Fee Split ledger API — new financial system for Care. Condition: Finance must document the ledger structure before Fin procedures can be built.
APM-01	Affirm (US BNPL collecting)	2	2	1	2	7	6	New Fin procedure for Affirm BNPL queries (instalment failure, refund process, escalation). New taxonomy for BNPL/Affirm, KB articles. Affirm data flows through existing APM collecting integration — no new integration. Condition: Commercial Legal dispute liability terms must be confirmed before Fin procedures are built.
APM-02	Interac (Canada e-transfer collecting)	2	2	1	2	7	6	New Fin procedure for Interac e-transfer queries (failure, refund, reconciliation). New taxonomy for Interac, KB articles. Interac data flows through existing APM collecting integration — no new integration. Condition: Compliance must confirm Canadian regulatory handling before procedures are built.
APM-03	Klarna enablement US	1	1	1	2	5	3	Update existing Klarna Fin procedure for US market and CRB boundary logic. KB update. Klarna US data flows through existing Klarna integration — no new integration. Condition: Compliance must define Care's CRB handling boundary before Fin is updated — Fin needs a hard rule on what it can and cannot advise on.
APM-04	ACH best in class (US)	2	1	1	1	5	3	Update Fin procedure for ACH with new R-code handling and improved settlement timelines. KB update. New capability data flows through existing ACH integration — no new integration. Condition: Treasury must confirm new settlement timelines before Fin is updated.
APM-05	Wero (EEA, via PPRO)	2	2	1	1	6	3	New Fin procedure for Wero queries and iDEAL migration handling. New taxonomy for Wero, KB articles including migration guidance. Wero data flows through existing PPRO integration — no new integration. Condition: Care Product must be given the iDEAL API sunset date early so the Fin procedure update is timed with the migration window.
APM-06	PayTo Australia	2	2	1	2	7	6	New Fin procedure for PayTo mandate-based queries (mandate setup, authorisation failure, dispute handling). New taxonomy for PayTo, KB articles. PayTo data flows through existing A2A/APM integration — no new integration. Condition: Australian regulatory dispute framework must be confirmed before procedures are built.
APM-07	PayPay Japan (via aggregator)	1	1	1	1	4	2	New Fin procedure for PayPay Japan via aggregator. KB update, minor taxonomy. PayPay data flows through existing aggregator integration. Condition: confirm aggregator SLA and escalation path before GA.
APM-08	Brazil PIX (inc. disputes)	2	2	1	2	7	6	New Fin procedure for PIX payment queries and PIX dispute handling — disputes are explicitly in scope and must be operational at launch. New taxonomy for PIX disputes, KB articles. PIX data flows through existing Brazil acquiring/APM integration — no new integration. Condition: Risk Ops must confirm PIX dispute evidence requirements before Fin procedures are built.
APM-09	AANi (UAE central bank mandate)	2	2	1	3	8	6	New Fin procedure for AANi activation and failure queries. New taxonomy for AANi, KB articles. AANi data flows through existing MENA APM integration — no new integration. Condition: Product Reg Legal must confirm the mandate timeline and Care's specific obligations before any build starts — regulatory mandate with compliance risk if Care is not ready at launch.
APM-10	DeemaPay (Kuwait BNPL)	2	2	1	2	7	6	New Fin procedure for DeemaPay BNPL queries (activation, failure, instalment handling). New taxonomy for DeemaPay, KB articles. DeemaPay data flows through existing MENA APM integration — no new integration. Condition: Commercial Legal BNPL liability terms must be confirmed before Fin procedures are built.
APM-11	Alma (EEA BNPL collecting)	2	2	1	2	7	6	New Fin procedure for Alma BNPL queries (instalment failure, refund, escalation). New taxonomy for Alma, KB articles. Alma data flows through existing EEA APM collecting integration — no new integration. Condition: Commercial Legal dispute liability terms must be confirmed before Fin procedures are built.
APM-12	Alipay+ replatform	1	0	1	0	2	1	Minor Fin procedure update for any new error codes post-replatform. No taxonomy change. New platform data flows through existing Alipay+ integration — same connection, updated backend.
APM-13	WeChat Pay replatform	1	0	1	0	2	1	Minor Fin procedure update for WeChat Pay post-replatform error codes. No taxonomy or integration change.
APM-14	Open Banking (UK + EEA)	2	2	3	3	10	8	New Fin procedures for Open Banking payment queries (SIP failure, VRP mandate setup, AIS data access). New taxonomy for Open Banking contact type, KB articles. Net-new integration to Open Banking APIs (FCA-compliant connections via Token.io) — genuinely new for Care tooling. Condition: FCA compliance position is a hard gate — no procedures can be built until the legal framework is confirmed.
APM-15	A2A refunds via Bank Payouts	1	1	1	1	4	2	Update Fin procedure for A2A refund queries (initiation, timing, failure). KB update. A2A refund data flows through existing Bank Payouts integration — new refund use case on existing infrastructure. Condition: Treasury must confirm settlement timelines per region before Fin is updated.
APM-16	MB WAY replatform	1	0	1	0	2	1	Minor Fin procedure update for MB WAY replatform error codes. No taxonomy or integration change.
APM-17	Bizum collecting & recurring (via PPRO)	2	2	1	1	6	3	New Fin procedure for Bizum collecting and recurring queries (recurring setup failure, PPRO escalation). New taxonomy for Bizum, KB articles. Bizum data flows through existing PPRO integration — no new integration. Condition: confirm PPRO SLA and escalation process before GA.
APM-18	Klarna Network (new API)	1	1	1	1	4	2	Update Klarna Fin procedure for new API error codes and response formats. KB update. New Klarna API data flows through updated integration — same connection, new schema. Condition: confirm any terms changes with Commercial Legal.
PLT-01	Platforms in the EU	2	3	2	3	10	8	New Fin procedures for EU Platform-specific queries (seller onboarding, KYB, platform escalations). Significant Zendesk routing and taxonomy build for the Platform segment — new customer type requiring dedicated routing, views, and taxonomy nodes. Extension to Platform/onboarding API for EU entity and seller data. Condition: Compliance and Product Reg Legal EU regulatory scope is a hard gate — no Zendesk routing or Fin procedures can be built until the regulatory framework is confirmed.
PLT-02	Platforms in the UK	2	3	2	3	10	8	Same scope as PLT-01 with FCA-specific requirements. New Fin procedures for UK Platform queries, significant Zendesk routing and taxonomy build. Extension to Platform API for UK entity data. Condition: FCA obligations are a hard gate. Align build with PLT-01 where possible.
PLT-03	Platforms in the UAE	2	2	2	3	9	8	New Fin procedures for UAE Platform queries. New Zendesk routing and taxonomy for UAE Platform segment. Extension to Platform API for UAE entity data. Condition: CBUAE regulatory framework is a hard gate. Merchant volume target TBC — confirm scope before full build investment.
PLT-04	PSD3 Solution	2	2	2	3	9	8	New Fin procedures for PSD3 query handling — scripted, approved responses to regulatory query types. New KB articles. Extension to existing EU payment/compliance API for PSD3 data. Condition: Product Reg Legal must define Care's resolution authority for PSD3 queries before any Fin procedures are built — hard gate.
PLT-05	PSD3 'pre-sales ready'	0	1	0	1	2	1	KB update for PSD3 solution messaging only. No Fin procedure or integration work. Condition: legal messaging sign-off required before KB is published.
PLT-06	SMB Direct	3	3	3	2	11	16	Major Care Product build. New Fin procedures for SMB-specific contact types (onboarding failure, account management, self-serve escalation). Entirely new Zendesk routing tier and taxonomy for SMB segment. Net-new integration to SMB onboarding/account management API — new customer type with a new data model. Condition: IDV and OCS must confirm their integration scope before Care Product builds. Must begin Q4 2026.
PLT-07	Seller onboarding UX + real-time feedback	2	2	2	1	7	6	New Fin procedure for real-time feedback error state queries and onboarding failure with feedback context. Zendesk taxonomy update for real-time feedback error types. Extension to onboarding API for real-time feedback data — new feedback schema in existing integration. Condition: IDV/OCS co-ownership scope must be confirmed before build begins.
PLT-08	Seller risk monitoring + adaptive adjustment	2	2	2	2	8	6	New Fin procedure for reserve/settlement adjustment queries — Fin must know the escalation boundary (cannot action reserve changes, must escalate to Risk Ops). Zendesk taxonomy update. Extension to risk/settlement API for adaptive adjustment and notification data. Condition: Risk Ops must define Fin's resolution authority before procedures are built.
PLT-09	Blended pricing at scale	1	1	1	1	4	2	Update Fin procedure for blended pricing queries — escalation boundary guidance. KB update. New FMX data flows through existing pricing API — no new integration. Condition: Finance must document the FMX methodology before Fin is updated.
PLT-10	Settlement window control at scale	2	2	2	2	8	6	New Fin procedure for settlement window query handling — Fin must understand the escalation boundary (automated reviews are Risk Ops decisions). Zendesk taxonomy update. Extension to settlement/risk API for window control and automated review notification data. Condition: Risk Ops and Treasury must define Care's remit before procedures are built.
PLT-11	Cross-border commission settlement	2	2	2	2	8	6	New Fin procedures for cross-border commission reconciliation queries. Taxonomy update, KB articles. Extension to settlement API for cross-border commission and currency account data — new FX/entity schema. Condition: Treasury must document the commission flow structure before Fin procedures are built.
CBA-01	Quote-to-Cash unified pricing platform	1	1	2	1	5	3	Update Fin procedure for pricing profile and self-serve activation queries. KB update. Extension to pricing/CBA API for unified pricer data — new pricing profile schema in existing API. Condition: Finance/Sales Ops must confirm pricing model documentation before Fin is updated.
CBA-02	On Demand Acceleration	2	2	3	1	8	6	New Fin procedure for On Demand Acceleration queries (how to trigger, failure handling, fee explanation). New taxonomy for acceleration query type, KB articles. Net-new integration to On Demand Acceleration API — new product with distinct endpoints not covered by existing settlement integration. Condition: Treasury/Risk Ops must confirm resolution authority for acceleration failures before procedures are built.
CBA-03	Yield expansion (EEA, US)	1	2	1	2	6	3	Update existing yield Fin procedure for new entities (Checkout SAS France, Checkout LLC US). New entity-specific KB articles, Zendesk routing update for EEA/US entities. New entity data flows through existing yield/CBA integration — same model extended to new entities. Condition: Compliance must confirm interest treatment per entity before Fin procedures are updated.
CBA-04	Virtual IBAN	2	2	3	2	9	8	New Fin procedures for Virtual IBAN queries (assignment failure, incoming fund matching, reconciliation). New taxonomy for Virtual IBAN query type, KB articles. Net-new integration to Virtual IBAN management API — new system for Care tooling. Condition: Treasury must confirm which regional bank accounts are in scope and subledger structure before integration can be scoped.
CBA-05	Account-to-Account CBA Funds Transfers	2	2	2	1	7	6	New Fin procedure for A2A CBA transfer queries (failure, timing, entity routing). New taxonomy, KB articles. Extension to CBA API for A2A transfer data — new transfer endpoint in existing CBA integration. Condition: Treasury must document entity-to-entity transfer rules before Fin procedures are built.
CBA-06	Instant Transfers (FX between currency accounts)	2	2	2	2	8	6	New Fin procedure for instant FX transfer queries (rate queries, transfer failure). New KB articles. Extension to CBA/FX API for instant transfer data — FX transfer endpoint in existing CBA/FX integration. Condition: Treasury must confirm FX rate source and update frequency before Fin procedures are built.
CBA-07	RLA self-serve reporting configs	0	0	0	0	0	1	No Care Product action required. Internal tooling for Account Managers — no Fin procedure, taxonomy, or integration needed.
ISS-01	US Phase 2: Tokenised Card	2	2	2	2	8	6	New Fin procedure for tokenised card queries (token provisioning failure, tokenised dispute handling). New taxonomy for tokenised card contact type, KB articles. Extension to Issuing API for tokenisation fields — new token provisioning data in existing issuing integration. Condition: scheme dispute liability terms must be confirmed before Fin procedures are built.
ISS-02	US Phase 2: Physical Card (Mastercard)	3	2	3	3	11	16	Major Care Product build. New Fin procedures for the full physical card contact lifecycle (lost/stolen blocking, PIN reset, delivery failure, card activation, card disputes). New taxonomy section for physical card. Net-new integrations to card management API, PIN management API, and delivery tracking system — all new for Care tooling. Condition: 24/7 card blocking is a hard gate before physical cards go live — both a Consumer Duty obligation and a fraud risk.
ISS-03	Visa Physical Card (EEA/UK parity)	2	2	2	2	8	6	Update Fin procedures from ISS-02 for Visa-specific scheme rules — chargeback timelines and dispute evidence requirements differ from Mastercard. Update taxonomy with Visa-specific elements. Extension to card management integration for Visa scheme data — builds on ISS-02 infrastructure. Condition: align with ISS-02 readiness track.
ISS-04	US platform users — run an issuing program	2	2	2	3	9	8	New Fin procedure for platform issuing program queries (program setup, card issuance failure, dispute escalation). New taxonomy, KB articles. Extension to Issuing API for platform program management endpoints. Condition: state-by-state US compliance constraints are a hard gate — Fin cannot handle compliance queries without a legal reference per state.
ISS-05	EEA/UK platform users — run an issuing program	2	2	2	3	9	8	New Fin procedure for EEA/UK platform issuing program queries. New taxonomy and KB — can reuse ISS-04 patterns. Extension to Issuing API for EU/UK platform program data. Condition: FCA and EU regulatory obligations are a hard gate — must be confirmed before Fin procedures are built.
ISS-06	Whitelabel Issuing as a Service	3	2	3	2	10	8	New Fin procedures for white-label issuing queries — multiple procedures to handle routing complexity (CKO vs. partner L1/L2). New Zendesk routing for white-label partner differentiation. Net-new integration to white-label program management API. Condition: Commercial Legal must define the white-label support ownership model in the contract before Fin procedures or Zendesk routing can be configured.
SPS-01	IPP White Label app	2	1	2	1	6	3	New Fin procedure for white-label IPP app queries (activation, transaction failure, configuration). KB update. Extension to IPP API for white-label configuration and tenant data — new tenant identifier data in existing IPP integration. Condition: Commercial Legal white-label terms must define Care's scope before Fin procedures are finalised.
SPS-02	IPP DCI/Discover (in-person)	1	1	1	1	4	2	Update Fin procedure for IPP with DCI/Discover scheme-specific error codes. KB update. New scheme data flows through existing IPP integration — no new integration. Condition: scheme terms must be available before Fin is updated.
SPS-03	IPP PINless (US)	1	1	1	1	4	2	Update Fin procedure for PINless debit eligibility queries. KB update. PINless routing data flows through existing IPP integration — no new integration. Condition: Compliance must confirm PIN-exempt criteria before Fin is updated.
SPS-04	IPP JCB (in-person)	1	1	1	1	4	2	Update Fin procedure for JCB in-person scheme queries. KB update. JCB data flows through existing IPP integration — no new integration. Condition: JCB scheme terms must be available before Fin is updated.
SPS-05	MALPB In-person payments	1	1	1	1	4	2	Update Fin procedure for MALPB entity context on in-person payments. KB update. New entity data flows through existing IPP/MALPB integration. Condition: Risk Ops and Treasury must confirm merchant-visible changes before Fin is updated.
