Field Name	Field Definition	Field Value	Value Definition	AI Summary
Destination branch code	The code identifying the receiving bank branch. Applies to bank payouts.			The branch code for the receiving bank branch.
Destination IBAN	The International Bank Account Number (IBAN) of the destination account. Applies to bank payouts.			The IBAN of the bank account the payout was sent to.
Destination country	Two-letter ISO country code of the country where the destination bank account is based. Applies to bank payouts.			The country where the destination bank account is held.
Destination account holder name (bank payout)	The first and last name of the destination bank account holder. Applies to bank payouts.			The name on the destination bank account.
Sender name	The first and last name of the payout sender. Applies to both card and bank payouts.			The name of the person or entity sending this payout.
Sender type	Classification of the payout sender. Applies to card payouts for specific funds transfer types only.	individual	The sender is an individual person.	The payout sender is an individual — returned only for certain card payout funds transfer types.
Action ID	Unique identifier for a specific action within the payout timeline			The unique ID for this specific event on the payout timeline.
Action type	The type of action recorded in the payout timeline	Payout	A payout was initiated and submitted to the card scheme or bank for processing. Applies to both card and bank payouts. Multiple Payout actions may appear — for example Pending followed by Approved.	A payout action was processed — this represents an attempt to send funds to the destination.
Action type	The type of action recorded in the payout timeline	Return	The payout was returned by the receiving bank after the initial Payout action was processed. Applies to bank payouts only. Appears after an Approved Payout action when the bank subsequently returns the funds.	The receiving bank returned this payout after funds were dispatched — the recipient did not receive them.
Processed on	Timestamp when the payout action was processed by Checkout.com			When this specific payout action was processed.
Acquirer reference number	A unique identifier for the payout submitted to the card scheme during processing. Applies to card payout actions only. Equivalent to the ARN on card payins.			The scheme-level reference for this card payout action — use this for tracking and investigation with the card scheme.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.			The outcome code for this payout action — cross-reference below for the full meaning.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	10000	Approved	The payout was approved and processed successfully.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50001	Compliance error	The payout was blocked due to a compliance issue — escalate for review.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50002	Sanction screening failure — there was a sanctions screening hit or data corruption.	The payout was blocked because a sanctions match was detected or data corruption occurred — escalate for compliance review.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50003	Balance reservation insufficient funds — the sub-account has an insufficient Available balance.	The merchant's sub-account does not have enough available balance — they need to top up before retrying.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50005	Barred beneficiary error	The recipient is barred from receiving payouts — the merchant should contact support to investigate.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50020	Recipient error	A general error with the recipient — check the destination account details.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50021	Invalid recipient error	The recipient details are invalid — the merchant needs to correct the destination information.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50022	Unsupported recipient error	The recipient is not supported for this payout type or currency.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50023	Recipient limit error	The recipient has reached their payout limit — the merchant should retry later or contact support.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50025	Invalid recipient account error	The destination account details are invalid — the merchant should verify and correct them.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50026	Recipient account not found	The destination account could not be found — verify the account details are correct.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50027	Recipient bank error	An error occurred at the recipient's bank — the merchant should retry or try an alternative account.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50030	Invalid recipient details error	One or more recipient detail fields are invalid — check all destination fields.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50070	Sender error	An error with the sender details prevented this payout — review the sender information on the request.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50100	Instruction error	A general error with the payout instruction — review the full request for missing or invalid fields.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50101	Instruction amount limit error	The payout amount exceeds a limit set on this instruction — the merchant should check their payout limits.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50102	Instruction amount limit sender error	The payout amount exceeds the sender's limit for this instruction.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50103	Instruction amount limit recipient error	The payout amount exceeds the recipient's limit for this instruction.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50104	Velocity limit	The payout was declined because too many payouts have been sent in the allowed period — retry later.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50105	Velocity limit sender error	The sender has reached their velocity limit — retry after the limit resets.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50106	Velocity limit recipient error	The recipient has reached their velocity limit — retry after the limit resets.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50150	Processing error	A processing error occurred — this may be temporary. The merchant should retry.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50180	Validation error	A validation error on the payout request — check all submitted fields for formatting issues.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50200	Configuration error	A configuration issue with the processing channel or merchant setup — escalate to support.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50240	Cancellation error	An error occurred when attempting to cancel this payout.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50260	Returned error	The payout was returned — funds were not delivered to the recipient.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50280	Insufficient funds	The merchant account has insufficient funds to process this payout — they need to top up before retrying.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50399	Unmapped response	The decline reason could not be mapped to a known code — escalate to support for investigation.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50401	Bank details invalid	The bank details provided for the destination are invalid — the merchant should verify and resubmit. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50402	Account not found	The destination bank account could not be found — verify the account number and bank details. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50403	Account inactive	The destination account is inactive — the recipient needs to reactivate it with their bank. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50404	Account dormant	The destination account is dormant — the recipient should contact their bank. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50405	Account number invalid	The account number provided is in an invalid format or does not exist. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50406	Branch not found	The branch code provided does not correspond to a known branch. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50407	Branch code invalid	The branch code is in an invalid format. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50408	Branch code required	A branch code is required for this payout but was not provided. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50409	Bank code invalid	The bank code is in an invalid format or not recognised. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50410	Bank code required	A bank code is required for this payout but was not provided. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50441	Account type required	An account type must be specified for this payout but was not provided. Applies to bank payouts.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50451	Account holder details invalid	The account holder name or other details are invalid — check and correct before retrying.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50452	Account holder identification number required	An identification number for the account holder is required for this payout but was not provided.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50453	Account holder type not supported	The account holder type submitted is not supported for this payout.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50454	Account holder type not allowed	The account holder type is not permitted for this payout configuration.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50466	Account closed	The destination account has been closed — the recipient needs to provide an alternative account.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50471	Account blocked	The destination account is blocked from receiving funds — the recipient should contact their bank.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50481	Invalid debtor account type	The debtor account type is invalid for this payout.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50490	Duplicate payment	This payout appears to be a duplicate of one already submitted — check the payment timeline before retrying.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50491	Account holder billing address details incorrect	The billing address provided for the account holder does not match bank records.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50492	Account holder billing address details required	Billing address details for the account holder are required but were not provided.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50494	Account holder billing address cannot be PO box	The billing address provided is a PO box — a physical address is required for this payout.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50499	Payout returned	The payout was returned — funds were not delivered to the recipient. Check the Return action in the timeline.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50501	Unsupported characters	The payout contains characters that are not supported — check the reference or name fields for special characters.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50511	Invalid amount	The payout amount is invalid — check the amount and currency combination.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50512	Minimum amount not met	The payout amount is below the minimum required for this destination or currency.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50513	Exceeded transaction value	The payout amount exceeds the maximum transaction value for this route.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50514	Exceeded daily limit	The daily payout limit has been reached — retry after the limit resets.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50515	Exceeded weekly limit	The weekly payout limit has been reached — retry after the limit resets.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50517	Exceeded monthly limit	The monthly payout limit has been reached — retry after the limit resets.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50531	Recalled	The payout was recalled — funds were not delivered to the recipient.
Response code	Checkout.com gateway response code returned for the payout action. 10000 indicates success. 50xxx codes indicate payout-specific declines.	50599	Unknown reason	The payout was declined for an unknown reason — escalate to support for investigation.
Response summary	Short human-readable description of the gateway response code for the payout action. Corresponds directly to the response code.			A plain-English label describing the outcome of this payout action — read alongside the response code.
Action reference	The merchant or acquirer reference associated with this payout action			The reference assigned to this specific payout action.
Sanction screening	The outcome of sanction or AML screening applied to the payout action. Applies to card payout actions only.	Pass	No sanctions match was found — the payout action cleared screening.	This payout action passed sanctions screening — no matches were detected.
Sanction screening	The outcome of sanction or AML screening applied to the payout action. Applies to card payout actions only.	Fail	A sanctions match was found — the payout was blocked.	This payout action was blocked because a sanctions match was detected.
