contact_id	contact_text_truncated	fin_case_type	fin_issue_type	fin_reason	correct_case_type	correct_issue_type	correct_reason	verdict	reason_match	gap_type	gap_description	recommended_fix
215560989689315	Hi team, We're supposed to have access to MCCs 7399 and 7631, but we're hitting an unsupported card MCC error. Processing channel IDs approved list by your compliance team.	Card issuing	Card Management	Spend controls	Technical issue	API Integration	Other	wrong	n/a	ambiguous_boundary	Contact mentions processing channel IDs and MCC approval with an 'unsupported card MCC' API error. Fin matched 'MCC' to Spend Controls under Card Issuing, but the merchant is processing acquiring transactions through a processing channel, not managing issued card spend controls.	Add to exclude_when on Issuing / Card Management / Spend Controls: 'Acquiring-side MCC restrictions on processing channels (pc_* IDs) are not issued card spend controls — route to Technical Issue / API Integration / Other.' Add to disambiguation: 'Spend Controls applies only to controls on cards Checkout has issued (crd_*), not on merchant acquiring processing channels.'
215560990414527	Dear Checkout Team, Please provide clarity on pay_p5eoczybwndyzp26kz5psjuffm with 42% fraud score. Can you please provide context on the 42% fraud score?	Accepting payments	Fraud & Risk Controls	Risk Rules	Accepting payments	Fraud & Risk Controls	Risk rules	correct	yes	none		
215560991374950	Dear Team, Why not able to download the report, many time happened this Please fix ASAP.	Data and analytics	Reporting	Report Not Generated/Missing	Data and analytics	Reporting	Report not generated / missing	correct	no	none		
215560986494530	Good Day Team, Requesting for your assistance to confirm if the refund for Emma order: 0003-FP3EHL is successfully sent to the customer. PSP Transaction ID: pay_dzxtdyzbkg6etnn7onoqfjtbzu	Accepting payments	Refunds	Refund proof	Accepting payments	Refunds	Refund proof	correct	yes	none		
215560990771124	Hello team, Could you please enable Account Funding Transactions (AFT) capabilities for our merchant account in the Sandbox environment? We are currently testing our deposit flows via Apple Pay and Go	Account management and access			Technical issue	Integration methods	Apple Pay / Google Pay	unclassified	n/a	missing_coverage	Contact asks to enable AFT for Apple Pay / Google Pay in sandbox, hitting an 'aft_processor_not_matched' error. No definition covers AFT capability enablement explicitly; classifier picked Account Management based on the word 'account'.	Add to include_when on Technical Issue / Integration Methods / Apple Pay / Google Pay: 'Configuration or capability enablement requests for Apple Pay / Google Pay including AFT (Account Funding Transactions), processing channel matching errors, and sandbox enablement.' Add to exclude_when on Account Management & Access / Account Changes: 'Processing capability enablement (AFT, wallet enablement, processor configuration) is not an account settings change.'
215560991965416	Hello, We've been struggling over the past ~2 months with a significant drop in our trial conversion rate. Our Trial CR has roughly halved. Would your team be able to help us review our account and pa	Accepting payments	Fraud & Risk Controls	Risk Rules	Accepting payments	Performance	Acceptance rate issue / optimisation	wrong	n/a	ambiguous_boundary	Contact describes a sustained drop in trial conversion rate and asks for a holistic review of approval rates, declines, and fraud filtering. Fin selected Fraud & Risk Controls / Risk Rules based on 'fraud filtering' keyword, but the merchant's framing is acceptance optimisation across the funnel, not a specific risk rule problem.	Add to disambiguation on Payments / Fraud & Risk Controls / Risk Rules: 'Only use when the merchant identifies a specific rule, decline reason, or trustlist/blocklist entry. Broad acceptance rate or conversion rate investigations that mention fraud as one of several possible causes belong to Performance / Acceptance Rate Issue / Optimisation.'
215560990021402	Hi Team, I think you are not receiving the new bank statement. I need tech support here @Support please advice	Platforms	Sub-Merchant onboarding	Merchant activation and verification	Platforms	Sub-Merchant onboarding	Merchant activation and verification	correct	yes	none		
215560990529670	Hi Team, Can you please confirm whether a refund was processed linked to this payment reference: pay_jokcydc7ipj2jowy67oo7rvyyy in 2022?	Accepting payments	Refunds	Refund proof	Accepting payments	Refunds	Refund proof	correct	yes	none		
215560986026360	Hi Checkout Team, We observed some transactions where the fraud score exceeded 60% in a few cases reaching 100% yet those transactions were still processed. Can you check and advise why?	Accepting payments	Fraud & Risk Controls	Risk Rules	Accepting payments	Fraud & Risk Controls	Risk rules	correct	yes	none		
215560988916934	Hi, I attempted to login with the wrong password too many times. I need help unlocking my account.	Account management and access	Login & Access	Login Error / MFA / SSO	Account management and access	Login & Access	Login error / MFA / SSO	correct	yes	none		
215560985283337	Dear Checkout Team, KNET has announced upcoming changes to their payment gateway effective 1st June 2026, including certificate validity changes. Since our integration with KNET is through Checkout, y	Accepting payments	Performance	OTHER	Accepting payments	Performance	Acceptance rate issue / optimisation	correct	no	none		
215560992287047	العملاء تواجهه مشكلة في عملية - يتم خصم المبلغ ويظهر لدينا في بوابة الدفع (Declined) - multiple payment IDs with System Malfunction and Issuer Inoperative responses	Accepting payments	Transaction status (non 3DS & Refunds)	Declined / Failed Action				unverifiable	n/a	n/a	Human ground truth not populated in Zendesk — unable to verify Fin classification.	Ensure Zendesk agents classify all tickets; untagged rows cannot contribute to QA.
215560985511517	Bonjour Nous avons configurer Apple Pay pour Frames via BPLAY. Nous passons à Flow via une webview, mais nous n'arrivons pas à utiliser Apple Pay. les domaines pour la sandbox sont api-uat.groupebarri	Technical issue	Account changes	Account settings update	Technical issue	Test environment	Sandbox issue	wrong	n/a	missing_coverage	Contact is about migrating an existing Apple Pay configuration from Frames to Flow in a sandbox environment and asks which configuration steps need to be redone. No taxonomy class covers integration method migrations; Fin defaulted to Account Settings Update on the word 'configured'.	Add to include_when on Technical Issue / Integration Methods / Flow / Frames: 'Migration questions between integration methods (Frames to Flow, Hosted to Flow, etc.), including which configuration, domain registration, or payment methods (Apple Pay, Google Pay) need to be re-set up.' Add to exclude_when on Account Management & Access / Account Changes / Account Settings Update: 'Integration method migrations and sandbox configuration questions are not account settings changes.'
215560991403730	Hi, When using Amex cards in our KSA store, a Failed to submit payment session error occurs. The channel where this happens is SAR-CHECKOUT (pc_bywsmcbhjgqubpqgykov6zoski).	Accepting payments	Transaction status (non 3DS & Refunds)	Declined / Failed Action	Accepting payments	Transaction status (non 3DS & Refunds)	Declined / failed action	correct	yes	none		
215560989177517	hi: zhanlei@juancloud.com account login prompt: Unable to sign in. If the issue persists, contact your organisation's administrator.	Account management and access	Login & Access	Login Error / MFA / SSO	Account management and access	Login & Access	Login error / MFA / SSO	correct	yes	none		
215560989607306	Hi Team, Kindly ask you to update us with the status of the following pending payments: ps2ipaqwu0 800.0 EUR FR 2026-05-18	Payouts	Bank Payouts	Bank payout stuck in Pending or status Inquiry	Payouts	Bank Payouts	Bank payout stuck in pending or status inquiry	correct	yes	none		
215560986420189	Hi Support, We recently migrated to a new checkout flow for Singapore entity. When entering Amex cards, an error stating Amex not supported appears during payment.	Account management and access	Account changes	Account settings update	Account management and access	Account changes	Account settings update	correct	yes	none		
215560988877933	Hi team, We're facing late capture payments. Payments are being captured after 8 minutes which is a lot. example payment id pay_f5nc2lybhlcypinyckqj3sazpa	Accepting payments	Performance		Accepting payments	Performance	Other	correct	n/a	none		
215560989906163	Hello, I am trying to get transaction data from checkout.com so I can prepare an export for our accounting. I need the fees on a monthly basis, matching the fee amounts on the invoices.	Funds and fees	Billing & Fees	Fee Inquiry	Funds and fees	Billing & Fees	Fee inquiry	correct	yes	none		
