Field Name,Field Definition,Field Value,Value Definition,AI Summary
Status,The type of event recorded in the payment lifecycle,Fraud Detection - Post-auth - Capture,The fraud engine evaluated the transaction after authorisation and approved it for capture.,The fraud engine reviewed this payment after authorisation and cleared it for capture.
Status,The type of event recorded in the payment lifecycle,3DS - Authentication Approved,The 3D Secure authentication step completed successfully.,The cardholder passed 3D Secure authentication successfully.
Status,The type of event recorded in the payment lifecycle,Authentication Requested,A 3D Secure authentication request was initiated.,A 3D Secure authentication challenge was sent to the cardholder.
Status,The type of event recorded in the payment lifecycle,Pending,The payment request has been successfully initiated and is awaiting customer action or bank processing. Common for redirect-based APMs (iDEAL / Sofort / Bancontact) and direct debit methods (SEPA / ACH).,The payment is in progress — waiting for the customer to complete their action or the bank to respond.
Status,The type of event recorded in the payment lifecycle,Capture Pending,The customer has approved the payment (e.g. completed the bank redirect) and the capture request has been sent to the bank or partner. Awaiting confirmation.,The customer approved the payment and funds are being collected — confirmation is pending.
Status,The type of event recorded in the payment lifecycle,Approved,The payment has been approved by the customer (e.g. on the APM's checkout page). Applies to BNPL methods (Klarna / PayPal) where manual capture is enabled.,The customer approved this payment — the merchant still needs to capture the funds.
Status,The type of event recorded in the payment lifecycle,Context Approved,The BNPL partner (e.g. Klarna) has pre-assessed and approved the payment context before the customer completes checkout.,The BNPL provider has pre-approved this transaction — the customer still needs to complete checkout.
Status,The type of event recorded in the payment lifecycle,Cancelled,The customer cancelled the payment during the redirect or APM checkout flow before completion.,The customer cancelled this payment before completing it.
Status,The type of event recorded in the payment lifecycle,Expired,The payment reached its expiry time without being completed or captured. Applies to redirect APMs (e.g. Sofort expires after 2 hours) and BNPL methods.,This payment expired before the customer completed it or the merchant captured it — no charge was made.
Status,The type of event recorded in the payment lifecycle,Returned,A previously captured direct debit payment has been reversed after settlement. Applies to SEPA and ACH. Three variants: post-settlement return (up to 5 days); authorised refund (up to 8 weeks); unauthorised dispute (up to 13 months).,This direct debit payment was reversed after it had already been collected — funds have been returned to the customer.
Status,The type of event recorded in the payment lifecycle,Voided,The payment authorisation was cancelled after approval but before or after partial capture. Applies to BNPL methods (Klarna / PayPal) with manual capture enabled.,The payment was voided after approval — the customer will not be charged for the remaining amount.
Status,The type of event recorded in the payment lifecycle,Capture Declined,The capture request was rejected by the bank or APM partner after the customer approved the payment.,The attempt to collect funds failed after the customer approved — the payment was not completed.
Status,The type of event recorded in the payment lifecycle,Refund Pending,The refund request has been successfully initiated and is being processed by the bank or APM partner.,A refund has been requested and is being processed — it has not yet been confirmed.
Status,The type of event recorded in the payment lifecycle,Refund Declined,The refund request was rejected by the bank or APM partner.,The refund attempt was rejected — the funds have not been returned to the customer.
Status,The type of event recorded in the payment lifecycle,Void Declined,The void request was rejected by the APM partner. Applies to BNPL methods with manual capture enabled.,The attempt to void this payment was rejected — the payment remains active.
Processed on,Timestamp when a specific payment action was processed by Checkout.com (distinct from Requested on which reflects when the merchant submitted the request),,,When this specific action — for example a capture or refund — was processed.
Action ID,Unique identifier for a specific action within the payment timeline,,,The unique ID for this specific event on the payment timeline.
Amount,The monetary value associated with the timeline action,,,The amount involved in this specific payment event.
Flag,Internal response code associated with the action (e.g. 20156 = Transaction type not supported),,,An internal code providing additional detail on this event — cross-reference with the response code list for the full meaning.
Reason,The reason code or description returned for this action by the acquirer or scheme,,,The reason provided by the acquirer or scheme for this outcome.
Authorization Code,Code returned by the issuer confirming the authorisation. Typically a 6-character alphanumeric code.,,,The issuer's confirmation code for this authorisation — used for reference in disputes or proof of payment.
Reference,Merchant or acquirer reference associated with the action,,,The reference number assigned by the merchant or acquirer to this specific event.
Acquirer reference number,Unique reference assigned by the acquirer to the transaction (also known as ARN). Used for dispute and chargeback tracking with the scheme. Distinct from the Retrieval Reference Number (RRN) which is scheme-assigned for retrieval requests.,,,The ARN is the key reference for tracking this transaction with the card scheme — essential for chargeback and dispute investigations.
Cardholder name,Name of the cardholder as stored on the card,,,The name on the card used for this payment.
Card number,Masked primary account number (PAN) of the card used. Displayed as first 6 (BIN) and last 4 digits.,,,The card number used — only the first 6 (BIN) and last 4 digits are shown for security.
Network token available,Indicates whether a network token (VTS or MDES) is available for this card,Yes,A network token exists for this card from Visa Token Service (VTS) or Mastercard Digital Enablement Service (MDES). Reduces fraud risk and improves authorisation rates.,A network token is available for this card — this can improve authorisation rates and reduce fraud risk.
Network token available,Indicates whether a network token (VTS or MDES) is available for this card,No,No network token is available for this card.,No network token is available for this card — it was charged using the raw card details.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,Visa,Card payment via the Visa scheme.,The cardholder paid by Visa card.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,Mastercard,Card payment via the Mastercard scheme.,The cardholder paid by Mastercard.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,American Express,Card payment via the American Express scheme.,The cardholder paid by American Express.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,Klarna,Payment made via Klarna BNPL.,The customer paid using Klarna — a buy now pay later method.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,PayPal,Payment made via PayPal.,The customer paid using PayPal.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,iDEAL,Payment made via iDEAL (Netherlands bank transfer).,The customer paid using iDEAL — a Dutch bank redirect method.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,Sofort,Payment made via Sofort (European bank transfer).,The customer paid using Sofort — a European bank redirect method.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,Bancontact,Payment made via Bancontact (Belgian scheme).,The customer paid using Bancontact — the Belgian domestic payment scheme.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,SEPA Direct Debit,Payment collected via SEPA Direct Debit.,The customer paid via SEPA Direct Debit — a bank debit across the SEPA region.
Payment method,The payment method used to initiate the payment. For card payments this is the card scheme (e.g. Visa / Mastercard). For alternative payment methods this is the APM name (e.g. Klarna / iDEAL / PayPal).,ACH,Payment collected via ACH Direct Debit (US).,The customer paid via ACH Direct Debit — a US bank debit method.
Scheme,The card network used for acquiring this transaction. Distinct from Payment method (what the customer chose) and Local scheme (domestic overlay). Reflects the scheme under which settlement and dispute rules apply.,Visa,Acquired under the Visa scheme.,This transaction was acquired and settled under the Visa scheme rules.
Scheme,The card network used for acquiring this transaction. Distinct from Payment method (what the customer chose) and Local scheme (domestic overlay). Reflects the scheme under which settlement and dispute rules apply.,Mastercard,Acquired under the Mastercard scheme.,This transaction was acquired and settled under the Mastercard scheme rules.
Scheme,The card network used for acquiring this transaction. Distinct from Payment method (what the customer chose) and Local scheme (domestic overlay). Reflects the scheme under which settlement and dispute rules apply.,American Express,Acquired under the American Express scheme.,This transaction was acquired and settled under the American Express scheme rules.
Scheme,The card network used for acquiring this transaction. Distinct from Payment method (what the customer chose) and Local scheme (domestic overlay). Reflects the scheme under which settlement and dispute rules apply.,Diners Club International,Acquired under the Diners Club International scheme.,This transaction was acquired and settled under the Diners Club International scheme rules.
Scheme,The card network used for acquiring this transaction. Distinct from Payment method (what the customer chose) and Local scheme (domestic overlay). Reflects the scheme under which settlement and dispute rules apply.,Discover,Acquired under the Discover scheme.,This transaction was acquired and settled under the Discover scheme rules.
Scheme,The card network used for acquiring this transaction. Distinct from Payment method (what the customer chose) and Local scheme (domestic overlay). Reflects the scheme under which settlement and dispute rules apply.,JCB,Acquired under the JCB scheme.,This transaction was acquired and settled under the JCB scheme rules.
Acquirer transaction ID,Acquirer-assigned transaction ID for this specific action. Distinct from the Acquirer reference number (ARN) — the ARN is the overall transaction reference; this ID is assigned per action by the acquirer.,,,The acquirer's own ID for this action — used alongside the ARN for acquirer-level investigation.
Processing channel name,Human-readable name of the processing channel used for this action. Corresponds to the Processing channel ID shown in the payment header.,,,The name of the processing channel used — a readable label for the channel configuration.
Card expiry date,The expiry date of the card used in MM/YYYY format,,,The expiry date of the card used for this payment.
Issuing country,Two-letter ISO country code of the country where the card was issued,,,The country where the card was issued — may differ from the cardholder's location.
Issuing bank,Name of the bank that issued the card to the cardholder,,,The bank that issued the card — relevant for understanding issuer-side declines.
CVV check,Result of the card verification value (CVV) check returned by the issuer,Y - CVV matched,The CVV provided by the cardholder matched the value held by the issuer.,The CVV was correct — the security code matched the issuer's record.
CVV check,Result of the card verification value (CVV) check returned by the issuer,D - CVV did not match,The CVV provided did not match the issuer's record.,The CVV provided did not match — the security code was incorrect.
CVV check,Result of the card verification value (CVV) check returned by the issuer,N - CVV not present,The CVV should be on the card but the merchant indicated it was not present.,The CVV was not provided by the merchant even though it should be on the card.
CVV check,Result of the card verification value (CVV) check returned by the issuer,P - Check not performed,The CVV check was not performed for this transaction.,No CVV check was run on this transaction.
CVV check,Result of the card verification value (CVV) check returned by the issuer,U - Issuer does not support CVV,The card-issuing bank does not support CVV verification.,The issuing bank does not support CVV checks — this is expected for some issuers.
CVV check,Result of the card verification value (CVV) check returned by the issuer,X - CVV not available,CVV information is not available for this transaction.,CVV information was unavailable for this transaction.
Payment type,Classification of the payment as required by the card scheme,Regular,A standard card-present or card-not-present e-commerce payment.,This is a standard one-off payment.
Payment type,Classification of the payment as required by the card scheme,MOTO,Mail Order / Telephone Order — cardholder details provided by phone or post rather than via an online session.,The card details were provided by phone or post — not entered online by the cardholder.
Payment type,Classification of the payment as required by the card scheme,Recurring,A repeat charge using stored card details under a recurring billing agreement.,This is a recurring charge — the cardholder's card is billed automatically on a schedule.
Payment type,Classification of the payment as required by the card scheme,Installment,A payment split into multiple scheduled charges under an instalment agreement.,This is one instalment in a series of scheduled charges.
Payment type,Classification of the payment as required by the card scheme,Account_Funding,An Account Funding Transaction (AFT) — funds pushed to a card not linked to a prior purchase (e.g. wallet top-up or P2P transfer).,This is a funds transfer to a card — not a purchase. Common for wallet top-ups or P2P transfers.
Card type,The funding type of the card used,Credit,Funds are drawn from a credit line extended by the issuer.,The cardholder paid with a credit card — funds are drawn from a credit line.
Card type,The funding type of the card used,Debit,Funds are drawn directly from the cardholder's bank account.,The cardholder paid with a debit card — funds come directly from their bank account.
Card type,The funding type of the card used,Prepaid,Funds are drawn from a pre-loaded balance on the card.,The cardholder paid with a prepaid card — funds come from a pre-loaded balance.
Fingerprint,A unique identifier derived from card details (SHA256 hash of PAN + expiry) used to track the same card across multiple transactions,,,A unique identifier for this specific card — use it to identify if the same card has been used in other transactions.
Is AFT,Indicates whether the transaction is an Account Funding Transaction — a payout to a card not linked to a prior purchase,Yes,This is an Account Funding Transaction. Funds are pushed to the card (e.g. for wallet loading or P2P transfer). Not necessarily linked to a prior payment.,This is an Account Funding Transaction — funds are being sent to the card rather than collected from it.
Is AFT,Indicates whether the transaction is an Account Funding Transaction — a payout to a card not linked to a prior purchase,No,This is a standard payment transaction.,This is a standard payment — not an Account Funding Transaction.
Authentication experience,The 3DS authentication flow used for this transaction,3DS,3D Secure authentication was used. Includes both frictionless and challenge flows.,3D Secure authentication was used for this payment.
Authentication experience,The 3DS authentication flow used for this transaction,Frictionless,The issuer authenticated the cardholder passively using risk-based data signals with no cardholder interaction required.,The cardholder was authenticated silently in the background — no action was required from them.
Authentication experience,The 3DS authentication flow used for this transaction,Challenge,The issuer required active cardholder verification (e.g. OTP or biometric) as part of authentication.,The cardholder was asked to actively verify their identity — for example via a one-time passcode.
Authentication experience,The 3DS authentication flow used for this transaction,Decoupled,Authentication occurred independently from the cardholder's payment session (e.g. via a banking app notification).,The cardholder authenticated separately from the checkout — for example via a notification in their banking app.
Transaction ID,Unique identifier for the 3DS authentication transaction,,,The unique ID for the 3DS authentication event linked to this payment.
Transaction status,The outcome of the 3DS authentication request returned by the Access Control Server (ACS),Y,Authentication successful — the cardholder was verified.,The cardholder was successfully authenticated.
Transaction status,The outcome of the 3DS authentication request returned by the Access Control Server (ACS),N,Authentication failed — the cardholder was not authenticated. Transaction denied.,Authentication failed — the cardholder could not be verified and the transaction was denied.
Transaction status,The outcome of the 3DS authentication request returned by the Access Control Server (ACS),U,Authentication unavailable — the issuer or ACS could not complete the authentication.,Authentication could not be completed — the issuer or authentication system was unavailable.
Transaction status,The outcome of the 3DS authentication request returned by the Access Control Server (ACS),A,Authentication attempted — the card is not enrolled in 3DS but an attempt was made. Partial liability shift may apply.,Authentication was attempted but the card is not enrolled in 3DS — a partial liability shift may still apply.
Transaction status,The outcome of the 3DS authentication request returned by the Access Control Server (ACS),C,Challenge required — the ACS is requesting a challenge before completing authentication.,The issuer is requesting the cardholder completes a challenge before authentication can finish.
Transaction status,The outcome of the 3DS authentication request returned by the Access Control Server (ACS),R,Authentication rejected — the issuer rejected the transaction and it should not be retried.,Authentication was rejected by the issuer — this transaction should not be retried.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,02 (Mastercard),3DS authentication was successful. Liability shift: Yes.,Authentication was successful on Mastercard — liability for fraud shifts to the issuer.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,01 (Mastercard),3DS authentication was processed by a stand-in service and is classed as successful. Liability shift: Yes.,Authentication was handled by a stand-in service on Mastercard — liability shifts to the issuer.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,07 (Mastercard),3DS authentication was successful for a recurring transaction. Liability shift: Yes (except Apple Pay without cryptogram).,Authentication succeeded for this recurring Mastercard transaction — liability shifts to the issuer.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,04 (Mastercard),Frictionless authentication via the Mastercard Identity Check Data Only service. Liability shift: No.,Frictionless authentication via Mastercard Identity Check — the merchant retains liability.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,06 (Mastercard),Transaction is out of scope or exempt from Strong Customer Authentication (SCA). Liability shift: No.,This transaction was exempt from SCA on Mastercard — the merchant retains liability.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,00 (Mastercard),3DS authentication failed or could not be attempted. Liability shift: No.,Authentication failed or could not be attempted on Mastercard — the merchant retains liability.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,N0/N2 (Mastercard),A non-payment authentication was processed. No authorisation step. Liability shift: No.,This was a non-payment authentication on Mastercard — no charge was processed.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,05 (Visa / Amex / Discover / JCB / DCI),3DS authentication was successful. Liability shift: Yes.,Authentication was successful — liability for fraud shifts to the issuer.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,06 (Visa / Amex / Discover / JCB / DCI),3DS authentication was processed by a stand-in service and is classed as successful. Liability shift: Yes.,Authentication was handled by a stand-in service — liability shifts to the issuer.
ECI,Electronic Commerce Indicator — authentication assurance level and liability shift indicator returned by the issuer after 3DS authentication. Value meaning varies by scheme.,07 (Visa / Amex / Discover / JCB / DCI),3DS authentication used an SCA exemption or failed or could not be attempted. Liability shift: No.,Authentication used an exemption or was unsuccessful — the merchant retains liability.
Challenge indicator,Instruction sent to the issuer's ACS indicating whether a 3DS challenge is requested for this transaction,No_preference,No preference is expressed — the ACS decides whether to apply a challenge.,No challenge preference was set — the issuer decided whether to challenge the cardholder.
Challenge indicator,Instruction sent to the issuer's ACS indicating whether a 3DS challenge is requested for this transaction,Challenge_requested,The merchant is requesting a challenge to be performed (e.g. for high-value or high-risk transactions).,The merchant requested a challenge — the cardholder was asked to actively verify their identity.
Challenge indicator,Instruction sent to the issuer's ACS indicating whether a 3DS challenge is requested for this transaction,Challenge_requested_mandate,A challenge is mandated by the merchant for regulatory or policy reasons.,A challenge was mandated — the cardholder was required to verify their identity by policy.
Challenge indicator,Instruction sent to the issuer's ACS indicating whether a 3DS challenge is requested for this transaction,No_challenge_requested,The merchant is explicitly requesting no challenge (e.g. applying an SCA exemption).,The merchant requested no challenge — an exemption was applied to skip cardholder verification.
Authentication method completion,Indicates whether the 3DS Method (a device fingerprinting step that collects browser data before authentication) was completed,Y,The 3DS Method completed successfully. Device data was collected and passed to the ACS.,Device data was successfully collected before authentication — this supports a stronger risk assessment.
Authentication method completion,Indicates whether the 3DS Method (a device fingerprinting step that collects browser data before authentication) was completed,N,The 3DS Method was not completed or was not available.,Device data could not be collected before authentication — the issuer had less data to assess risk.
Authentication method completion,Indicates whether the 3DS Method (a device fingerprinting step that collects browser data before authentication) was completed,U,The 3DS Method completion status is unknown.,It is unknown whether device data was collected before authentication.
ACS challenge mandated,Indicates whether the Access Control Server (ACS) required a cardholder challenge as part of 3DS authentication,Yes,The ACS required the cardholder to actively verify their identity (e.g. via OTP or biometric).,The issuer required the cardholder to complete a challenge — for example a one-time passcode.
ACS challenge mandated,Indicates whether the Access Control Server (ACS) required a cardholder challenge as part of 3DS authentication,No,No challenge was mandated by the ACS. Authentication was completed frictionlessly.,No challenge was required — the cardholder was authenticated silently.
Authentication status reason,Machine-readable code qualifying the 3DS transaction status — provides additional detail on why a specific outcome was reached,14,Transaction timed out at the ACS during authentication.,Authentication timed out at the issuer's system — the session expired before the cardholder responded.
Authentication status reason,Machine-readable code qualifying the 3DS transaction status — provides additional detail on why a specific outcome was reached,22,ACS malfunction — the Access Control Server encountered an error.,The issuer's authentication system encountered an error during processing.
Message category,Identifies the category of the 3DS message exchange,01,Payment authentication — standard 3DS authentication flow for a payment transaction.,This was a standard payment authentication using 3DS.
Message category,Identifies the category of the 3DS message exchange,02,Non-payment authentication — authentication without a linked payment (e.g. card verification).,This was a card verification — no payment was processed.
Authentication ID,Unique session identifier assigned to the 3DS authentication interaction by the scheme or ACS,,,The unique ID for this 3DS authentication session — used for scheme-level tracking and investigation.
Shipping address,The shipping address provided by the cardholder at the time of the transaction (masked for PCI compliance),,,The shipping address provided at checkout — masked for security.
Name,Name of the customer associated with the payment (masked for PCI compliance),,,The customer name associated with this payment — masked for security.
Email,Email address of the customer (masked for PCI compliance),,,The customer's email address — masked for security.
IP address,IP address of the customer's device at the time of payment (masked),,,The IP address of the device used at checkout — masked for security.
Device IP address,IP address of the device used to initiate the payment as captured by the fraud engine (masked),,,The IP address captured by the fraud engine — masked for security. May differ from the checkout IP if a proxy or VPN was used.
Risk score,Machine learning-generated score (0–100) indicating the probability that the transaction is fraudulent,0–30,Low risk. The transaction shows minimal fraud signals.,This payment has a low risk score — the fraud engine considers it unlikely to be fraudulent.
Risk score,Machine learning-generated score (0–100) indicating the probability that the transaction is fraudulent,31–69,Medium risk. The transaction shows moderate fraud signals and may warrant additional review.,This payment has a medium risk score — some fraud signals are present and it may warrant review.
Risk score,Machine learning-generated score (0–100) indicating the probability that the transaction is fraudulent,70–100,High risk. The transaction shows strong fraud signals and may be declined or flagged.,This payment has a high risk score — strong fraud signals were detected and it may have been blocked.
Device activity,Contribution of device behaviour signals to the overall risk score. Shown as positive (increases risk) or negative (decreases risk).,Increase value,Device behaviour signals (e.g. unusual device or unfamiliar browser) are increasing the risk score.,The device used for this payment looks unfamiliar or unusual — this is raising the risk score.
Device activity,Contribution of device behaviour signals to the overall risk score. Shown as positive (increases risk) or negative (decreases risk).,Decrease value,Device behaviour signals are reducing the risk score — the device appears legitimate and familiar.,The device used looks legitimate and familiar — this is lowering the risk score.
Card activity,Contribution of card usage patterns to the overall risk score,Increase value,Card usage patterns (e.g. high velocity or unusual spend behaviour) are increasing the risk score.,This card's recent activity looks unusual — for example high transaction velocity — which is raising the risk score.
Card activity,Contribution of card usage patterns to the overall risk score,Decrease value,Card usage patterns are reducing the risk score — the card shows normal activity.,This card's recent activity looks normal — this is lowering the risk score.
Fraud history,Contribution of historical fraud signals associated with this card or customer to the risk score,Increase value,The card or customer has prior fraud signals on record that are increasing the risk score.,Prior fraud signals have been detected for this card or customer — this is raising the risk score.
Fraud history,Contribution of historical fraud signals associated with this card or customer to the risk score,Decrease value,No prior fraud history is detected — this is reducing the risk score.,No prior fraud history is linked to this card or customer — this is lowering the risk score.
Identity,Contribution of identity-related signals to the overall risk score,Increase value,Identity signals (e.g. mismatched name or email) are increasing the risk score.,Identity details such as name or email show inconsistencies — this is raising the risk score.
Identity,Contribution of identity-related signals to the overall risk score,Decrease value,Identity signals are consistent with a known good customer — reducing the risk score.,Identity details are consistent and recognisable — this is lowering the risk score.
Locations,Contribution of location-based signals (IP geolocation vs issuing country vs billing address) to the overall risk score,Increase value,Location signals show inconsistency (e.g. IP country differs from card issuing country) and are increasing the risk score.,The payment location doesn't match the card's home country or billing address — this is raising the risk score.
Locations,Contribution of location-based signals (IP geolocation vs issuing country vs billing address) to the overall risk score,Decrease value,Location signals are consistent — reducing the risk score.,Location signals are consistent — the IP matches the expected geography for this card.
Payment details,Contribution of payment-specific attributes (amount, currency, merchant category) to the overall risk score,Increase value,Payment attributes are atypical for this card or merchant and are increasing the risk score.,Something about this payment — such as the amount or currency — looks atypical and is raising the risk score.
Payment details,Contribution of payment-specific attributes (amount, currency, merchant category) to the overall risk score,Decrease value,Payment attributes are consistent with expected behaviour and are reducing the risk score.,The payment amount and details look normal for this card and merchant — this is lowering the risk score.
Business risk,Contribution of merchant or business-level risk signals to the overall risk score,Increase value,Merchant-level risk signals (e.g. high chargeback rate or MCC risk) are increasing the risk score.,Merchant-level risk factors such as a high chargeback rate are raising the risk score for this payment.
Business risk,Contribution of merchant or business-level risk signals to the overall risk score,Decrease value,Merchant-level signals indicate low business risk and are reducing the risk score.,Merchant-level signals indicate low risk — this is lowering the overall risk score.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,10000,Approved,The payment was approved.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,10008,Approved — Honor with ID (debit cards),The payment was approved — the issuer requires the cardholder to show ID.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,10010,Partial value approved,A partial amount was approved — not the full requested amount.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,10100,Flagged as a potentially risky transaction,The payment was approved but flagged by the risk engine for review.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,10200,Deferred capture,The payment was authorised and capture has been deferred.
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20001,Refer to card issuer — contact the issuing bank for more information,"This decline is typically driven by the issuer’s risk assessment, which may flag the transaction as potentially high-risk. To help users complete their payment successfully, consider the following actions: 1) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 2) Offer alternative payment methods (e.g., digital wallets or local APMs). 3) Suggest that the user contact their issuing bank for clarification on the decline. Note: Review your risk appetite before implementing these steps, as increasing retry options may also raise exposure to fraudulent activity"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20003,Invalid merchant or service provider,"Verify your Merchant ID, MCC, and acquirer configuration. If the issue persists, consider issuer outreach through Checkout.com’s Support team or your account manager to resolve potential restrictions. You can also open a Support request if you suspect a configuration mismatch so Checkout.com can coordinate directly with the scheme or issuer"
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20005,Declined — do not honour. Generic issuer decline with no specific reason given.,"Review your fraud rates — levels above 35 bps may be considered high, and issuers could respond with a 'Do Not Honor' decline due to elevated risk. 2) Review recommendation codes for further context. 3) Improve the amount and quality of data sent in the authorization message to enhance issuer trust. 4) Consider issuer outreach through Checkout.com’s Support team or your account manager to investigate potential restrictions or feedback from the issuer."
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20012,Invalid transaction,"This transaction will not be approved by the issuer. To optimize recovery while avoiding unnecessary costs: 1) Do not retry the transaction with the same card to prevent incurring Visa Integrity and gateway fees. 2) Prompt the user to retry using a different card, or leverage Checkout.com’s Intelligent Acceptance to automatically manage retries. 3) Offer alternative payment methods (e.g., digital wallets or local APMs) to help the user complete the transaction."
Response code,Checkout.com gateway response code returned for the payment action. Indicates the outcome category and specific reason for the result.,20013,Invalid value or amount,"These transactions are typically declined due to issuer restrictions on the user’s card, such as exceeding daily spending limits. To help recover these payments: 1) Encourage the user to use a different card or alternative payment method. 2) Suggest that the user review their daily spending limits in their banking app and adjust them if possible, or contact their issuing bank for assistance in resetting the limit"
